    ROW ID,SHOW ID,SHOW,Status,PRODUCTION TYPE,OPENING  DATE,CLOSING  DATE,# of  PERFORMANCES,PRODUCTION NOTES,PERSON ID,LAST NAME,FIRST NAME,Lifespan if deceased,Role,Person Start Date,Person End Date,PREFIX,WEBSITE,INTERNET BROADWAY DATABASE,LINK TO PHOTO,Photo Credit,PERSON FUN FACTS
    1,S0001,1776,Closed,Revival,8/14/1997,6/14/1998,333,,P0092,Torre,Maggie,,Assistant Conductor,1/1/1997,,,,https://www.ibdb.com/broadway-cast-staff/maggie-torre-105364,,,
2,S0002,1776,Closed,Revival,10/6/2022,1/8/2023,105,,P0091,Thompson,Alyssa Kay,,Associate Music Director,,,,https://www.alyssakthompson.com/,https://www.ibdb.com/broadway-cast-staff/alyssa-kay-thompson-535581,https://flerlageapps.com/Women-Conductors/P0091.jpg,,
3,S0002,1776,Closed,Revival,10/6/2022,1/8/2023,105,,P0091,Thompson,Alyssa Kay,,Alternate Conductor,,,,https://www.alyssakthompson.com/,https://www.ibdb.com/broadway-cast-staff/alyssa-kay-thompson-535581,https://flerlageapps.com/Women-Conductors/P0091.jpg,,
4,S0003,& Juliet,Running,Original,11/17/2022,,1269,,P0008,Bennett,Haley,,Associate Music Director / Associate Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/haley-bennett-516909,https://flerlageapps.com/Women-Conductors/P0008.jpg,Photo by Gareth Keegan,
5,S0003,& Juliet,Running,Original,11/17/2022,,1269,,P0008,Bennett,Haley,,Music Director / Conductor,10/24/2023,,,,https://www.ibdb.com/broadway-cast-staff/haley-bennett-516909,https://flerlageapps.com/Women-Conductors/P0008.jpg,Photo by Gareth Keegan,
6,S0004,"70, Girls, 70",Closed,Original,4/15/1971,5/15/1971,35,,P0048,Gustafson,Karen,,Associate Music Director,,,,,https://www.ibdb.com/broadway-cast-staff/karen-gustafson-90439,https://flerlageapps.com/Women-Conductors/P0048.jpg,Karen Gustafson (left) and Dorothea Freitag (right),"Broadway's first female pit pianist (The Vamp, 1955)"
7,S0005,9 to 5,Closed,Original,4/30/2009,9/6/2009,148,,P0068,Moore,Jodie,,Assistant Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/jodie-moore-483753,https://flerlageapps.com/Women-Conductors/P0068.jpg,,
8,S0006,A Catered Affair,Closed,Original,4/17/2008,7/27/2008,116,,P0100,Will,Ethyl,,Associate Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/ethyl-will-71588,https://flerlageapps.com/Women-Conductors/P0100.jpg,,Ethyl Will has been conducting the Radio City Christmas Spectacular since 2010. She was the first (and so far the only) woman to conduct the Radio City orchestra.
9,S0007,A Chorus Line,Closed,Original,7/25/1975,4/28/1990,6137,,P0042,Glazener Roma,Janet,,Alternate Conductor,1/1/1982,,,,https://www.ibdb.com/broadway-cast-staff/janet-glazener-87303,https://flerlageapps.com/Women-Conductors/P0042.jpg,,
10,S0007,A Chorus Line,Closed,Original,7/25/1975,4/28/1990,6137,,P0061,Liebergall,Fran,,Music Supervisor,1/1/1982,,,,https://www.ibdb.com/broadway-cast-staff/fran-liebergall-89480,https://flerlageapps.com/Women-Conductors/P0061.jpg,,Worked as Marvin Hamlisch's assistant for many years
11,S0007,A Chorus Line,Closed,Original,7/25/1975,4/28/1990,6137,,P0079,Segovia,Yolanda,,Conductor,1/1/1985,,,,https://www.ibdb.com/broadway-cast-staff/yolanda-segovia-77475,https://flerlageapps.com/Women-Conductors/P0079.jpg,,
12,S0008,A Chorus Line,Closed,Revival,10/5/2006,8/17/2008,759,,P0092,Torre,Maggie,,Assistant Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/maggie-torre-105364,,,
13,S0009,A Christmas Story: The Musical,Closed,Original,11/19/2012,12/30/2012,51,,P0058,Westphal,Cynthia Kortman,,Associate Music Director / Associate Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/cynthia-kortman-westphal-493768,https://flerlageapps.com/Women-Conductors/P0058.jpg,,
14,S0010,A Little Night Music,Closed,Revival,12/13/2009,1/9/2011,425,,P0051,Humphris,Caroline,,Music Supervisor,,,,https://www.carolinehumphris.com/,https://www.ibdb.com/broadway-cast-staff/caroline-humphris-472079,https://flerlageapps.com/Women-Conductors/P0051.jpg,,
15,S0011,A Strange Loop,Closed,Original,4/26/2022,1/15/2023,293,,P0017,Bruce,Rebekah,,Substitute Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/rebekah-bruce-parker-524338,https://flerlageapps.com/Women-Conductors/P0017.jpg,,
16,S0011,A Strange Loop,Closed,Original,4/26/2022,1/15/2023,293,,P0083,Siddiqui,Rona,,Music Supervisor,,,,https://ronasiddiqui.com/,https://www.ibdb.com/broadway-cast-staff/rona-siddiqui-533385,https://flerlageapps.com/Women-Conductors/P0083.jpg,Photo by Michael Kushner Photography,
17,S0011,A Strange Loop,Closed,Original,4/26/2022,1/15/2023,293,,P0083,Siddiqui,Rona,,Music Director / Conductor,,,,https://ronasiddiqui.com/,https://www.ibdb.com/broadway-cast-staff/rona-siddiqui-533385,https://flerlageapps.com/Women-Conductors/P0083.jpg,Photo by Michael Kushner Photography,
18,S0012,A Time for Singing,Closed,Original,5/21/1966,6/25/1966,41,,P0015,Brown,Joyce,1920-2015,Assistant Conductor,,,Dr.,,https://www.ibdb.com/broadway-cast-staff/joyce-brown-79156,https://flerlageapps.com/Women-Conductors/P0015.jpg,,"Broadway's first Black female conductor (Golden Boy, replacement circa 1965)
Broadway's first Black female conductor to open a show (Purlie, 1970)"
19,S0013,A Year With Frog and Toad,Closed,Original,4/2/2003,6/15/2003,73,,P0094,Twine,Linda,,Music Director / Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/linda-twine-76696,https://flerlageapps.com/Women-Conductors/P0094.jpg,,
20,S0014,Aida,Closed,Original,3/23/2000,9/5/2004,1852,,P0070,Puricelli,Denise,,Alternate Conductor,1/1/2001,,,,https://www.ibdb.com/broadway-cast-staff/denise-puricelli-478954,https://flerlageapps.com/Women-Conductors/P0070.jpg,,
21,S0014,Aida,Closed,Original,3/23/2000,9/5/2004,1852,,P0079,Segovia,Yolanda,,Conductor,1/1/2001,,,,https://www.ibdb.com/broadway-cast-staff/yolanda-segovia-77475,https://flerlageapps.com/Women-Conductors/P0079.jpg,,
22,S0015,Aladdin,Running,Original,3/20/2014,,4221,,P0036,duChateau,Annbritt,,Assistant Music Director / Assistant Conductor,3/20/2014,5/31/2014,,https://www.annbrittduchateau.com/,https://www.ibdb.com/broadway-cast-staff/annbritt-duchateau-112939,https://flerlageapps.com/Women-Conductors/P0036.jpg,,
23,S0015,Aladdin,Running,Original,3/20/2014,,4221,,P0036,duChateau,Annbritt,,Co-Associate Music Director / Associate Conductor,6/1/2014,3/21/2018,,https://www.annbrittduchateau.com/,https://www.ibdb.com/broadway-cast-staff/annbritt-duchateau-112939,https://flerlageapps.com/Women-Conductors/P0036.jpg,,
